day,timestamp,shopper_id,action,row,col,details
Monday,11:25,3,MOVING,h,11,
Monday,11:25,4,BROWSING,e,6,Pants
Monday,11:25,5,MOVING,f,4,
Monday,11:26,3,MOVING,h,12,
Monday,11:26,4,BROWSING,e,6,Pants
Monday,11:26,5,MOVING,e,4,
Monday,11:27,1,ARRIVED_SECTION,g,13,Tops
Monday,11:27,3,ARRIVED_SECTION,h,13,Skirts & Dresses
Monday,11:27,4,BROWSING,e,6,Pants
Monday,11:27,5,MOVING,d,4,
Monday,11:28,1,BROWSING,g,13,Tops
Monday,11:28,3,BROWSING,h,13,Skirts & Dresses
Monday,11:28,4,BROWSING,e,6,Pants
Monday,11:28,5,ARRIVED_SECTION,d,3,Stockings
Monday,11:29,1,BROWSING,g,13,Tops
Monday,11:29,3,BROWSING,h,13,Skirts & Dresses
Monday,11:29,5,BROWSING,d,3,Stockings
Monday,11:30,1,BROWSING,g,13,Tops
Monday,11:30,3,BROWSING,h,13,Skirts & Dresses
Monday,11:30,4,MOVING,d,6,
Monday,11:30,5,BROWSING,d,3,Stockings
Monday,11:31,1,BROWSING,g,13,Tops
Monday,11:31,3,BROWSING,h,13,Skirts & Dresses
Monday,11:31,4,MOVING,c,6,
Monday,11:31,5,BROWSING,d,3,Stockings
Monday,11:32,1,BROWSING,g,13,Tops
Monday,11:32,3,BROWSING,h,13,Skirts & Dresses
Monday,11:32,4,MOVING,b,6,
Monday,11:32,5,BROWSING,d,3,Stockings
Monday,11:33,1,BROWSING,g,13,Tops
Monday,11:33,4,MOVING,a,6,
Monday,11:34,1,BROWSING,g,13,Tops
Monday,11:34,3,ARRIVED_SECTION,g,13,Tops
Monday,11:34,4,MOVING,a,7,
Monday,11:34,5,MOVING,e,3,
Monday,11:35,1,BROWSING,g,13,Tops
Monday,11:35,3,BROWSING,g,13,Tops
Monday,11:35,4,MOVING,a,8,
Monday,11:35,5,MOVING,f,3,
Monday,11:36,1,BROWSING,g,13,Tops
Monday,11:36,3,BROWSING,g,13,Tops
Monday,11:36,4,MOVING,a,9,
Monday,11:36,5,ARRIVED_SECTION,g,3,Jeans
Monday,11:37,1,BROWSING,g,13,Tops
Monday,11:37,3,BROWSING,g,13,Tops
Monday,11:37,4,MOVING,a,10,
Monday,11:37,5,BROWSING,g,3,Jeans
Monday,11:38,1,BROWSING,g,13,Tops
Monday,11:38,3,BROWSING,g,13,Tops
Monday,11:38,4,MOVING,a,11,
Monday,11:38,5,BROWSING,g,3,Jeans
Monday,11:39,6,ENTERED,h,8,gender~male age~adult
Monday,11:39,1,BROWSING,g,13,Tops
Monday,11:39,3,BROWSING,g,13,Tops
Monday,11:39,4,ARRIVED_FITTING_AREA,a,12,
Monday,11:39,5,BROWSING,g,3,Jeans
Monday,11:39,6,MOVING,f,7,
Monday,11:40,1,BROWSING,g,13,Tops
Monday,11:40,3,BROWSING,g,13,Tops
Monday,11:40,4,ENTERED_FITTING,a,12,waited 0 ticks
Monday,11:40,5,BROWSING,g,3,Jeans
Monday,11:40,6,ARRIVED_SECTION,f,6,Pants
Monday,11:41,1,BROWSING,g,13,Tops
Monday,11:41,3,BROWSING,g,13,Tops
Monday,11:41,5,BROWSING,g,3,Jeans
Monday,11:41,6,BROWSING,f,6,Pants
Monday,11:42,1,BROWSING,g,13,Tops
Monday,11:42,5,BROWSING,g,3,Jeans
Monday,11:42,6,BROWSING,f,6,Pants
Monday,11:43,1,BROWSING,g,13,Tops
Monday,11:43,3,MOVING,h,13,
Monday,11:43,5,BROWSING,g,3,Jeans
Monday,11:43,6,BROWSING,f,6,Pants
Monday,11:44,7,ENTERED,h,8,gender~female age~adult
Monday,11:44,1,BROWSING,g,13,Tops
Monday,11:44,3,MOVING,h,12,
Monday,11:44,5,BROWSING,g,3,Jeans
Monday,11:44,6,BROWSING,f,6,Pants
Monday,11:44,7,MOVING,h,6,
Monday,11:45,1,BROWSING,g,13,Tops
Monday,11:45,3,MOVING,h,11,
Monday,11:45,5,BROWSING,g,3,Jeans
Monday,11:45,7,MOVING,h,4,
Monday,11:46,1,BROWSING,g,13,Tops
Monday,11:46,3,MOVING,h,10,
Monday,11:46,5,BROWSING,g,3,Jeans
Monday,11:46,6,MOVING,g,4,
Monday,11:46,7,ARRIVED_SECTION,h,3,Jeans
Monday,11:47,8,ENTERED,h,8,gender~male age~adult
Monday,11:47,3,MOVING,h,9,
Monday,11:47,5,BROWSING,g,3,Jeans
Monday,11:47,6,MOVING,d,4,
Monday,11:47,7,BROWSING,h,3,Jeans
Monday,11:47,8,MOVING,f,8,
Monday,11:48,1,MOVING,h,13,
Monday,11:48,3,MOVING,h,8,
Monday,11:48,6,ARRIVED_SECTION,d,3,Stockings
Monday,11:48,7,BROWSING,h,3,Jeans
Monday,11:48,8,MOVING,d,8,
Monday,11:49,1,PAUSED,h,13,
Monday,11:49,3,PAUSED,h,8,
Monday,11:49,5,MOVING,f,3,
Monday,11:49,6,BROWSING,d,3,Stockings
Monday,11:49,7,BROWSING,h,3,Jeans
Monday,11:49,8,MOVING,d,6,
Monday,11:50,1,PAUSED,h,13,
Monday,11:50,3,PAUSED,h,8,
Monday,11:50,4,LEFT_FITTING,a,12,
Monday,11:50,5,MOVING,e,3,
Monday,11:50,7,BROWSING,h,3,Jeans
Monday,11:50,8,MOVING,b,6,
Monday,11:51,1,PAUSED,h,13,
Monday,11:51,3,PAUSED,h,8,
Monday,11:51,4,MOVING,b,12,
Monday,11:51,5,MOVING,d,3,
Monday,11:51,6,MOVING,b,4,
Monday,11:51,7,BROWSING,h,3,Jeans
Monday,11:51,8,MOVING,b,4,
Monday,11:52,1,MOVING,h,12,
Monday,11:52,3,MOVING,h,7,
Monday,11:52,4,MOVING,b,11,
Monday,11:52,5,MOVING,c,3,
Monday,11:52,6,MOVING,b,7,
Monday,11:52,8,ARRIVED_SECTION,b,3,Underwear
Monday,11:53,1,MOVING,h,11,
Monday,11:53,3,MOVING,h,6,
Monday,11:53,4,MOVING,b,10,
Monday,11:53,5,MOVING,b,3,
Monday,11:53,6,JOINED_QUEUE,b,8,position #1
Monday,11:53,7,MOVING,g,4,
Monday,11:53,8,BROWSING,b,3,Underwear
Monday,11:54,6,REACHED_COUNTER,b,7,
Monday,11:54,1,MOVING,h,10,
Monday,11:54,3,MOVING,h,5,
Monday,11:54,4,MOVING,b,9,
Monday,11:54,5,MOVING,b,4,
Monday,11:54,6,AT_CHECKOUT,b,7,
Monday,11:54,7,MOVING,g,6,
Monday,11:54,8,BROWSING,b,3,Underwear
Monday,11:55,1,MOVING,h,9,
Monday,11:55,3,MOVING,h,4,
Monday,11:55,4,JOINED_QUEUE,b,8,position #2
Monday,11:55,5,MOVING,b,5,
Monday,11:55,6,AT_CHECKOUT,b,7,
Monday,11:55,7,MOVING,g,8,
Monday,11:55,8,BROWSING,b,3,Underwear
Monday,11:56,1,MOVING,h,8,
Monday,11:56,3,ARRIVED_SECTION,h,3,Jeans
Monday,11:56,4,IN_QUEUE,b,8,position #2
Monday,11:56,5,MOVING,b,6,
Monday,11:56,6,AT_CHECKOUT,b,7,
Monday,11:56,7,ARRIVED_SECTION,g,10,Tops
Monday,11:57,1,MOVING,h,7,
Monday,11:57,3,BROWSING,h,3,Jeans
Monday,11:57,4,IN_QUEUE,b,8,position #2
Monday,11:57,5,MOVING,b,7,
Monday,11:57,6,CHECKOUT_COMPLETED,b,7,
Monday,11:57,7,BROWSING,g,10,Tops
Monday,11:57,8,MOVING,d,3,
Monday,11:58,4,REACHED_COUNTER,b,7,
Monday,11:58,1,MOVING,h,6,
Monday,11:58,3,BROWSING,h,3,Jeans
Monday,11:58,4,AT_CHECKOUT,b,7,
Monday,11:58,5,JOINED_QUEUE,b,8,position #2
Monday,11:58,6,MOVING,c,9,
Monday,11:58,7,BROWSING,g,10,Tops
Monday,11:58,8,MOVING,f,3,
Monday,11:59,1,MOVING,h,5,
Monday,11:59,3,BROWSING,h,3,Jeans
Monday,11:59,4,AT_CHECKOUT,b,7,
Monday,11:59,5,IN_QUEUE,b,8,position #2
Monday,11:59,6,MOVING,f,9,
Monday,11:59,7,BROWSING,g,10,Tops
Monday,11:59,8,ARRIVED_SECTION,g,3,Jeans
Monday,12:00,1,MOVING,h,4,
Monday,12:00,3,BROWSING,h,3,Jeans
Monday,12:00,4,AT_CHECKOUT,b,7,
Monday,12:00,5,IN_QUEUE,b,8,position #2
Monday,12:00,6,EXITED,h,8,
Monday,12:00,7,BROWSING,g,10,Tops
Monday,12:00,8,BROWSING,g,3,Jeans
Monday,12:01,9,ENTERED,h,8,gender~female age~adult
Monday,12:01,1,ARRIVED_SECTION,h,3,Jeans
Monday,12:01,3,BROWSING,h,3,Jeans
Monday,12:01,4,AT_CHECKOUT,b,7,
Monday,12:01,5,IN_QUEUE,b,8,position #2
Monday,12:01,7,BROWSING,g,10,Tops
Monday,12:01,8,BROWSING,g,3,Jeans
Monday,12:01,9,MOVING,g,9,
Monday,12:02,1,BROWSING,h,3,Jeans
Monday,12:02,3,BROWSING,h,3,Jeans
Monday,12:02,4,AT_CHECKOUT,b,7,
Monday,12:02,5,IN_QUEUE,b,8,position #2
Monday,12:02,7,BROWSING,g,10,Tops
Monday,12:02,8,BROWSING,g,3,Jeans
Monday,12:02,9,ARRIVED_SECTION,g,10,Tops
Monday,12:03,1,BROWSING,h,3,Jeans
Monday,12:03,4,CHECKOUT_COMPLETED,b,7,
Monday,12:03,5,IN_QUEUE,b,8,position #1
Monday,12:03,8,BROWSING,g,3,Jeans
Monday,12:03,9,BROWSING,g,10,Tops
Monday,12:04,5,REACHED_COUNTER,b,7,
Monday,12:04,1,BROWSING,h,3,Jeans
Monday,12:04,3,MOVING,h,4,
Monday,12:04,4,MOVING,b,8,
Monday,12:04,5,AT_CHECKOUT,b,7,
Monday,12:04,7,MOVING,e,10,
Monday,12:04,8,BROWSING,g,3,Jeans
Monday,12:04,9,BROWSING,g,10,Tops
Monday,12:05,1,BROWSING,h,3,Jeans
Monday,12:05,3,MOVING,h,5,
Monday,12:05,4,MOVING,b,9,
Monday,12:05,5,AT_CHECKOUT,b,7,
Monday,12:05,7,MOVING,c,10,
Monday,12:05,8,BROWSING,g,3,Jeans
Monday,12:05,9,BROWSING,g,10,Tops
Monday,12:06,1,BROWSING,h,3,Jeans
Monday,12:06,3,MOVING,h,6,
Monday,12:06,4,MOVING,c,9,
Monday,12:06,5,AT_CHECKOUT,b,7,
Monday,12:06,7,MOVING,b,9,
Monday,12:06,8,BROWSING,g,3,Jeans
Monday,12:07,1,BROWSING,h,3,Jeans
Monday,12:07,3,MOVING,h,7,
Monday,12:07,4,MOVING,d,9,
Monday,12:07,5,CHECKOUT_COMPLETED,b,7,
Monday,12:07,7,MOVING,b,7,
Monday,12:07,8,BROWSING,g,3,Jeans
Monday,12:07,9,MOVING,e,10,
Monday,12:08,1,BROWSING,h,3,Jeans
Monday,12:08,3,EXITED,h,8,
Monday,12:08,4,MOVING,e,9,
Monday,12:08,5,MOVING,b,8,
Monday,12:08,7,MOVING,b,5,
Monday,12:08,8,BROWSING,g,3,Jeans
Monday,12:08,9,MOVING,c,10,
Monday,12:09,10,ENTERED,h,8,gender~female age~adult
Monday,12:09,1,BROWSING,h,3,Jeans
Monday,12:09,4,MOVING,f,9,
Monday,12:09,5,MOVING,b,9,
Monday,12:09,7,ARRIVED_SECTION,b,3,Underwear
Monday,12:09,8,BROWSING,g,3,Jeans
Monday,12:09,9,MOVING,a,10,
Monday,12:09,10,MOVING,h,7,
Monday,12:10,1,BROWSING,h,3,Jeans
Monday,12:10,4,PAUSED,f,9,
Monday,12:10,5,MOVING,c,9,
Monday,12:10,7,BROWSING,b,3,Underwear
Monday,12:10,9,ARRIVED_FITTING_AREA,a,12,
Monday,12:10,10,MOVING,h,6,
Monday,12:11,1,BROWSING,h,3,Jeans
Monday,12:11,4,PAUSED,f,9,
Monday,12:11,5,MOVING,d,9,
Monday,12:11,7,BROWSING,b,3,Underwear
Monday,12:11,8,MOVING,g,5,
Monday,12:11,9,ENTERED_FITTING,a,12,waited 0 ticks
Monday,12:11,10,MOVING,h,5,
Monday,12:12,1,BROWSING,h,3,Jeans
Monday,12:12,4,PAUSED,f,9,
Monday,12:12,5,MOVING,e,9,
Monday,12:12,7,BROWSING,b,3,Underwear
Monday,12:12,8,MOVING,g,7,
Monday,12:12,10,MOVING,h,4,
Monday,12:13,1,BROWSING,h,3,Jeans
Monday,12:13,4,MOVING,g,9,
Monday,12:13,5,MOVING,f,9,
Monday,12:13,7,BROWSING,b,3,Underwear
Monday,12:13,8,MOVING,g,9,
Monday,12:13,10,ARRIVED_SECTION,h,3,Jeans
Monday,12:14,11,ENTERED,h,8,gender~male age~adult
Monday,12:14,1,BROWSING,h,3,Jeans
Monday,12:14,4,MOVING,h,9,
Monday,12:14,5,MOVING,g,9,
Monday,12:14,7,BROWSING,b,3,Underwear
Monday,12:14,8,ARRIVED_SECTION,g,10,Tops
Monday,12:14,10,BROWSING,h,3,Jeans
Monday,12:14,11,MOVING,g,8,
Monday,12:15,1,BROWSING,h,3,Jeans
Monday,12:15,4,EXITED,h,8,
Monday,12:15,5,MOVING,h,9,
Monday,12:15,7,BROWSING,b,3,Underwear
Monday,12:15,8,BROWSING,g,10,Tops
Monday,12:15,10,BROWSING,h,3,Jeans
Monday,12:15,11,MOVING,g,9,
Monday,12:16,1,BROWSING,h,3,Jeans
Monday,12:16,5,EXITED,h,8,
Monday,12:16,7,BROWSING,b,3,Underwear
Monday,12:16,8,BROWSING,g,10,Tops
Monday,12:16,10,BROWSING,h,3,Jeans
Monday,12:16,11,ARRIVED_SECTION,g,10,Tops
Monday,12:17,1,BROWSING,h,3,Jeans
Monday,12:17,7,BROWSING,b,3,Underwear
Monday,12:17,8,BROWSING,g,10,Tops
Monday,12:17,10,BROWSING,h,3,Jeans
Monday,12:17,11,BROWSING,g,10,Tops
Monday,12:18,7,BROWSING,b,3,Underwear
Monday,12:18,8,BROWSING,g,10,Tops
Monday,12:18,10,BROWSING,h,3,Jeans
Monday,12:18,11,BROWSING,g,10,Tops
Monday,12:19,1,MOVING,g,3,
Monday,12:19,7,BROWSING,b,3,Underwear
Monday,12:19,8,BROWSING,g,10,Tops
Monday,12:19,10,BROWSING,h,3,Jeans
Monday,12:19,11,BROWSING,g,10,Tops
Monday,12:20,1,MOVING,f,3,
Monday,12:20,7,BROWSING,b,3,Underwear
Monday,12:20,8,BROWSING,g,10,Tops
Monday,12:20,10,BROWSING,h,3,Jeans
Monday,12:20,11,BROWSING,g,10,Tops
Monday,12:21,1,ARRIVED_SECTION,f,4,Pants
Monday,12:21,8,BROWSING,g,10,Tops
Monday,12:21,9,LEFT_FITTING,a,12,
Monday,12:21,10,BROWSING,h,3,Jeans
Monday,12:21,11,BROWSING,g,10,Tops
Monday,12:22,1,BROWSING,f,4,Pants
Monday,12:22,7,MOVING,a,4,
Monday,12:22,8,BROWSING,g,10,Tops
Monday,12:22,9,MOVING,b,11,
Monday,12:22,11,BROWSING,g,10,Tops
Monday,12:23,1,BROWSING,f,4,Pants
Monday,12:23,7,MOVING,a,6,
Monday,12:23,8,BROWSING,g,10,Tops
Monday,12:23,9,MOVING,b,9,
Monday,12:23,10,MOVING,g,3,
Monday,12:24,12,ENTERED,h,8,gender~male age~young
Monday,12:24,1,BROWSING,f,4,Pants
Monday,12:24,7,MOVING,a,8,
Monday,12:24,8,BROWSING,g,10,Tops
Monday,12:24,9,JOINED_QUEUE,b,8,position #1
Monday,12:24,10,MOVING,f,3,
Monday,12:24,11,MOVING,g,9,
Monday,12:24,12,MOVING,h,5,
Monday,12:25,9,REACHED_COUNTER,b,7,
Monday,12:25,1,BROWSING,f,4,Pants
Monday,12:25,7,MOVING,a,10,
Monday,12:25,8,BROWSING,g,10,Tops
Monday,12:25,9,AT_CHECKOUT,b,7,
Monday,12:25,10,ARRIVED_SECTION,f,4,Pants
Monday,12:25,11,MOVING,g,8,
Monday,12:25,12,PAUSED,h,5,
Monday,12:26,1,BROWSING,f,4,Pants
Monday,12:26,7,ARRIVED_FITTING_AREA,a,12,
Monday,12:26,9,AT_CHECKOUT,b,7,
Monday,12:26,10,BROWSING,f,4,Pants
Monday,12:26,11,MOVING,g,7,
Monday,12:26,12,PAUSED,h,5,
Monday,12:27,1,BROWSING,f,4,Pants
Monday,12:27,7,ENTERED_FITTING,a,12,waited 0 ticks
Monday,12:27,8,PAUSED,g,10,
Monday,12:27,9,AT_CHECKOUT,b,7,
Monday,12:27,10,BROWSING,f,4,Pants
Monday,12:27,11,MOVING,g,6,
Monday,12:27,12,ARRIVED_SECTION,h,3,Jeans
Monday,12:28,13,ENTERED,h,8,gender~female age~senior
Monday,12:28,1,BROWSING,f,4,Pants
Monday,12:28,8,PAUSED,g,10,
Monday,12:28,9,CHECKOUT_COMPLETED,b,7,
Monday,12:28,10,BROWSING,f,4,Pants
Monday,12:28,11,MOVING,g,5,
Monday,12:28,12,BROWSING,h,3,Jeans
Monday,12:28,13,MOVING,h,7,
Monday,12:29,1,BROWSING,f,4,Pants
Monday,12:29,8,MOVING,e,10,
Monday,12:29,9,MOVING,b,9,
Monday,12:29,10,BROWSING,f,4,Pants
Monday,12:29,11,MOVING,g,4,
Monday,12:29,12,BROWSING,h,3,Jeans
Monday,12:29,13,MOVING,h,6,
Monday,12:30,1,BROWSING,f,4,Pants
Monday,12:30,8,MOVING,e,12,
Monday,12:30,9,MOVING,d,9,
Monday,12:30,10,BROWSING,f,4,Pants
Monday,12:30,11,MOVING,f,4,
Monday,12:30,12,BROWSING,h,3,Jeans
Monday,12:30,13,MOVING,h,5,
Monday,12:31,1,BROWSING,f,4,Pants
Monday,12:31,8,ARRIVED_SECTION,d,13,Hats & Handbags
Monday,12:31,9,MOVING,f,9,
Monday,12:31,11,MOVING,e,4,
Monday,12:31,12,BROWSING,h,3,Jeans
Monday,12:31,13,MOVING,h,4,
Monday,12:32,1,BROWSING,f,4,Pants
Monday,12:32,8,BROWSING,d,13,Hats & Handbags
Monday,12:32,9,MOVING,h,9,
Monday,12:32,10,MOVING,e,4,
Monday,12:32,11,MOVING,d,4,
Monday,12:32,12,BROWSING,h,3,Jeans
Monday,12:32,13,ARRIVED_SECTION,h,3,Jeans
Monday,12:33,1,BROWSING,f,4,Pants
Monday,12:33,8,BROWSING,d,13,Hats & Handbags
Monday,12:33,9,EXITED,h,8,
Monday,12:33,10,MOVING,d,4,
Monday,12:33,11,ARRIVED_SECTION,d,3,Stockings
Monday,12:33,12,BROWSING,h,3,Jeans
Monday,12:33,13,BROWSING,h,3,Jeans
Monday,12:34,1,BROWSING,f,4,Pants
Monday,12:34,8,BROWSING,d,13,Hats & Handbags
Monday,12:34,10,ARRIVED_SECTION,d,3,Stockings
Monday,12:34,11,BROWSING,d,3,Stockings
Monday,12:34,12,BROWSING,h,3,Jeans
Monday,12:34,13,BROWSING,h,3,Jeans
Monday,12:35,1,BROWSING,f,4,Pants
Monday,12:35,8,BROWSING,d,13,Hats & Handbags
Monday,12:35,10,BROWSING,d,3,Stockings
Monday,12:35,11,BROWSING,d,3,Stockings
Monday,12:35,12,BROWSING,h,3,Jeans
Monday,12:35,13,BROWSING,h,3,Jeans
Monday,12:36,1,BROWSING,f,4,Pants
Monday,12:36,8,BROWSING,d,13,Hats & Handbags
Monday,12:36,10,BROWSING,d,3,Stockings
Monday,12:36,11,BROWSING,d,3,Stockings
Monday,12:36,12,BROWSING,h,3,Jeans
Monday,12:36,13,BROWSING,h,3,Jeans
Monday,12:37,1,BROWSING,f,4,Pants
Monday,12:37,8,BROWSING,d,13,Hats & Handbags
Monday,12:37,10,BROWSING,d,3,Stockings
Monday,12:37,11,BROWSING,d,3,Stockings
Monday,12:37,12,BROWSING,h,3,Jeans
Monday,12:37,13,BROWSING,h,3,Jeans
