frame,time_s,label,conf,x1,y1,x2,y2,cx,cy,w,h,person_id
42,3.208,shopping bag,0.39,297.4,241.7,391.9,328.4,344.6,285.1,94.4,86.7,5
42,3.208,shopping bag,0.383,825.5,387.6,879.7,515.3,852.6,451.4,54.2,127.7,1
44,3.361,shopping bag,0.623,827.2,373.1,884.6,513.3,855.9,443.2,57.4,140.2,1
44,3.361,handbag,0.463,834.5,369.4,886.5,490.1,860.5,429.7,52.1,120.7,1
44,3.361,shopping bag,0.314,297.7,244.2,389.6,329.6,343.7,286.9,91.9,85.4,5
46,3.513,handbag,0.504,833.5,370.9,887.4,481.3,860.5,426.1,53.9,110.3,1
46,3.513,shopping bag,0.348,297.5,244.1,389.9,329.8,343.7,287.0,92.4,85.7,
48,3.666,shopping bag,0.548,297.7,243.8,390.3,330.4,344.0,287.1,92.7,86.5,
48,3.666,shopping bag,0.504,827.8,376.2,886.6,480.7,857.2,428.5,58.8,104.5,1
50,3.819,shopping bag,0.495,297.2,243.9,390.3,330.6,343.7,287.2,93.1,86.7,
52,3.972,shopping bag,0.586,296.6,244.2,390.6,331.0,343.6,287.6,94.0,86.8,
54,4.124,shopping bag,0.603,296.3,245.0,391.3,331.4,343.8,288.2,95.0,86.3,
56,4.277,shopping bag,0.656,300.7,245.5,391.6,329.3,346.1,287.4,90.9,83.8,
58,4.43,shopping bag,0.726,305.6,245.7,391.2,328.6,348.4,287.1,85.6,82.8,
58,4.43,cardboard box,0.263,561.6,236.2,637.4,361.0,599.5,298.6,75.8,124.8,
58,4.43,cardboard box,0.255,419.3,94.0,461.8,162.2,440.5,128.1,42.5,68.2,
60,4.583,shopping bag,0.755,303.9,245.3,391.0,328.9,347.5,287.1,87.1,83.6,
60,4.583,cardboard box,0.251,561.7,236.1,637.7,361.3,599.7,298.7,76.0,125.1,
62,4.735,shopping bag,0.748,303.6,245.2,391.3,328.9,347.4,287.0,87.7,83.7,
64,4.888,shopping bag,0.76,303.9,245.4,391.3,329.2,347.6,287.3,87.3,83.8,
66,5.041,shopping bag,0.754,306.1,244.9,391.2,329.2,348.6,287.1,85.2,84.2,
68,5.194,shopping bag,0.783,306.4,244.7,391.3,328.9,348.8,286.8,84.8,84.2,
70,5.346,shopping bag,0.722,305.3,242.3,391.4,328.7,348.3,285.5,86.1,86.5,5
72,5.499,shopping bag,0.669,305.6,242.1,391.5,328.3,348.6,285.2,85.9,86.1,5
74,5.652,shopping bag,0.692,306.2,242.0,391.4,328.2,348.8,285.1,85.1,86.2,
76,5.805,shopping bag,0.701,305.1,242.5,391.7,328.5,348.4,285.5,86.5,86.0,
78,5.957,shopping bag,0.765,297.2,243.9,390.6,332.8,343.9,288.4,93.4,89.0,
78,5.957,shopping bag,0.325,744.6,548.8,845.0,660.6,794.8,604.7,100.4,111.8,4
80,6.11,shopping bag,0.694,304.7,244.8,391.6,329.6,348.2,287.2,86.9,84.8,
82,6.263,shopping bag,0.715,305.5,244.8,391.4,329.5,348.4,287.1,85.8,84.7,
82,6.263,shopping bag,0.286,732.9,545.7,837.1,665.2,785.0,605.5,104.2,119.5,
84,6.416,shopping bag,0.692,302.8,245.0,391.5,329.8,347.2,287.4,88.8,84.8,
86,6.568,shopping bag,0.727,302.2,244.1,391.2,329.8,346.7,287.0,89.0,85.7,
86,6.568,shopping bag,0.269,728.7,547.2,831.3,657.7,780.0,602.5,102.7,110.6,4
88,6.721,shopping bag,0.617,342.1,147.5,378.0,213.1,360.0,180.3,35.8,65.6,
88,6.721,shopping bag,0.465,296.7,241.4,392.1,331.6,344.4,286.5,95.4,90.2,
90,6.874,shopping bag,0.451,729.7,542.1,830.7,643.6,780.2,592.9,101.0,101.5,4
90,6.874,shopping bag,0.363,296.7,243.2,392.3,331.6,344.5,287.4,95.6,88.4,
90,6.874,shopping bag,0.327,342.1,147.5,377.4,210.5,359.7,179.0,35.4,63.0,
92,7.027,shopping bag,0.505,295.2,243.2,392.2,333.1,343.7,288.2,97.1,89.9,
92,7.027,shopping bag,0.397,730.2,541.3,830.5,637.0,780.4,589.2,100.4,95.7,4
94,7.179,shopping bag,0.457,296.9,244.8,391.5,333.3,344.2,289.0,94.6,88.5,
94,7.179,shopping bag,0.309,732.5,540.8,829.9,632.2,781.2,586.5,97.4,91.4,4
94,7.179,shopping bag,0.264,1008.4,518.0,1149.0,688.7,1078.7,603.4,140.6,170.7,
96,7.332,shopping bag,0.579,295.9,244.2,391.7,333.4,343.8,288.8,95.8,89.1,
96,7.332,handbag,0.27,730.9,538.3,827.8,627.1,779.4,582.7,96.8,88.7,4
98,7.485,shopping bag,0.5,295.9,242.4,395.5,332.4,345.7,287.4,99.6,90.0,
98,7.485,cardboard box,0.273,560.8,236.2,634.9,359.2,597.9,297.7,74.2,123.0,
98,7.485,cardboard box,0.262,629.3,275.8,812.3,474.0,720.8,374.9,183.1,198.2,4
100,7.638,shopping bag,0.675,291.8,245.8,389.0,332.9,340.4,289.4,97.2,87.1,
100,7.638,cardboard box,0.271,563.3,236.3,635.0,358.8,599.2,297.6,71.7,122.5,
102,7.79,shopping bag,0.723,290.0,247.6,386.1,332.9,338.0,290.2,96.0,85.3,14
102,7.79,cardboard box,0.293,634.3,274.5,806.4,469.1,720.4,371.8,172.1,194.5,4
102,7.79,cardboard box,0.266,563.6,236.5,635.0,359.4,599.3,298.0,71.4,123.0,
104,7.943,shopping bag,0.61,289.2,248.2,384.4,333.0,336.8,290.6,95.2,84.8,
104,7.943,shopping bag,0.262,714.5,490.2,800.3,600.4,757.4,545.3,85.8,110.2,
106,8.096,shopping bag,0.475,288.2,247.5,384.3,332.6,336.2,290.1,96.1,85.0,
108,8.249,shopping bag,0.295,282.9,244.5,385.1,331.4,334.0,288.0,102.2,86.9,
108,8.249,cardboard box,0.294,633.6,275.1,810.6,481.7,722.1,378.4,177.0,206.6,
114,8.707,shopping bag,0.306,336.6,157.6,373.0,214.2,354.8,185.9,36.3,56.6,
114,8.707,cardboard box,0.27,635.0,274.1,805.0,482.1,720.0,378.1,170.0,208.1,
116,8.86,shopping bag,0.269,335.4,159.2,373.0,217.0,354.2,188.1,37.6,57.9,
116,8.86,cardboard box,0.268,636.2,274.4,806.8,482.2,721.5,378.3,170.7,207.8,
116,8.86,shopping bag,0.251,279.0,245.5,372.1,326.7,325.5,286.1,93.2,81.2,
118,9.012,cardboard box,0.304,636.1,274.1,809.6,482.3,722.9,378.2,173.6,208.2,
120,9.165,shopping bag,0.674,293.9,234.0,381.2,321.6,337.5,277.8,87.3,87.6,
122,9.318,shopping bag,0.647,307.4,230.5,389.8,316.4,348.6,273.5,82.3,85.9,
124,9.471,shopping bag,0.754,320.3,224.3,393.1,314.1,356.7,269.2,72.8,89.8,
124,9.471,shopping bag,0.273,933.5,369.2,1004.7,457.6,969.1,413.4,71.2,88.4,
124,9.471,cardboard box,0.252,630.3,273.3,830.9,483.3,730.6,378.3,200.6,210.0,
126,9.623,shopping bag,0.788,330.1,224.4,392.3,316.4,361.2,270.4,62.2,92.0,5
126,9.623,shopping bag,0.471,959.5,356.6,1026.9,438.6,993.2,397.6,67.4,82.0,
128,9.776,shopping bag,0.852,332.0,226.6,392.3,318.7,362.1,272.6,60.3,92.0,5
128,9.776,shopping bag,0.628,973.7,344.1,1040.6,427.6,1007.1,385.9,66.9,83.6,
130,9.929,shopping bag,0.875,331.0,232.9,391.7,323.0,361.3,278.0,60.7,90.1,5
130,9.929,shopping bag,0.449,985.6,330.7,1050.5,415.6,1018.0,373.1,65.0,84.9,
132,10.082,shopping bag,0.814,322.9,240.9,395.0,328.9,359.0,284.9,72.1,88.0,5
134,10.234,shopping bag,0.621,312.2,242.2,394.6,325.8,353.4,284.0,82.4,83.6,5
136,10.387,shopping bag,0.673,298.5,221.5,387.0,312.3,342.7,266.9,88.5,90.8,5
138,10.54,shopping bag,0.303,284.5,218.4,372.0,293.2,328.2,255.8,87.5,74.8,5
140,10.693,shopping bag,0.563,273.2,213.5,364.4,294.1,318.8,253.8,91.2,80.6,5
140,10.693,cardboard box,0.25,562.2,235.6,636.6,360.8,599.4,298.2,74.5,125.2,
142,10.845,handbag,0.633,269.9,212.0,363.1,298.1,316.5,255.0,93.2,86.1,5
142,10.845,cardboard box,0.281,412.2,129.2,475.9,193.0,444.0,161.1,63.7,63.8,
142,10.845,cardboard box,0.274,562.8,235.6,636.9,360.9,599.9,298.2,74.2,125.3,
142,10.845,shopping bag,0.271,1014.7,272.8,1064.3,344.8,1039.5,308.8,49.6,72.0,
144,10.998,handbag,0.613,274.1,213.4,365.5,289.9,319.8,251.6,91.5,76.6,5
146,11.151,shopping bag,0.57,274.6,203.7,365.2,285.4,319.9,244.6,90.6,81.7,5
146,11.151,shopping bag,0.289,408.1,95.1,463.9,162.5,436.0,128.8,55.8,67.4,
146,11.151,shopping bag,0.271,943.8,295.7,985.0,373.8,964.4,334.7,41.1,78.1,1
148,11.304,shopping bag,0.651,272.3,200.3,359.5,289.8,315.9,245.1,87.1,89.5,5
148,11.304,handbag,0.544,934.4,293.1,978.6,368.4,956.5,330.7,44.2,75.3,1
148,11.304,handbag,0.367,347.7,163.2,389.3,209.5,368.5,186.4,41.5,46.3,14
150,11.457,shopping bag,0.676,272.4,205.5,361.6,294.5,317.0,250.0,89.2,89.0,5
150,11.457,handbag,0.4,345.9,141.3,396.9,211.5,371.4,176.4,51.0,70.2,
152,11.609,shopping bag,0.645,274.8,204.5,367.2,292.0,321.0,248.2,92.5,87.5,5
154,11.762,shopping bag,0.562,285.8,204.8,371.8,291.0,328.8,247.9,86.0,86.2,5
156,11.915,shopping bag,0.494,294.2,192.5,378.6,291.6,336.4,242.0,84.4,99.1,5
156,11.915,cardboard box,0.26,563.0,235.7,637.3,357.7,600.1,296.7,74.3,122.0,
158,12.068,shopping bag,0.657,299.4,184.7,380.2,283.5,339.8,234.1,80.7,98.8,5
158,12.068,cardboard box,0.251,563.6,235.6,636.7,357.3,600.2,296.5,73.1,121.7,
160,12.22,shopping bag,0.516,308.2,173.8,395.5,264.3,351.9,219.0,87.2,90.5,
160,12.22,shopping bag,0.263,322.2,115.9,377.8,177.4,350.0,146.7,55.6,61.5,
160,12.22,cardboard box,0.256,418.6,96.0,461.8,159.2,440.2,127.6,43.2,63.1,
162,12.373,shopping bag,0.441,302.3,182.4,387.0,249.8,344.7,216.1,84.8,67.5,5
162,12.373,shopping bag,0.399,337.8,118.3,381.6,177.0,359.7,147.6,43.7,58.7,
162,12.373,cardboard box,0.291,418.8,96.8,461.6,159.1,440.2,127.9,42.9,62.3,
164,12.526,shopping bag,0.575,334.5,114.8,381.9,173.6,358.2,144.2,47.4,58.7,
166,12.679,shopping bag,0.444,348.0,108.4,385.3,169.5,366.7,138.9,37.3,61.2,
166,12.679,cardboard box,0.276,418.8,96.7,462.1,159.7,440.5,128.2,43.3,62.9,
168,12.831,cardboard box,0.335,418.7,95.2,462.1,160.4,440.4,127.8,43.3,65.2,
170,12.984,cardboard box,0.323,418.6,94.8,462.4,160.1,440.5,127.5,43.8,65.3,
172,13.137,cardboard box,0.386,418.7,95.6,462.2,159.7,440.4,127.7,43.6,64.2,
172,13.137,cardboard box,0.279,206.1,242.5,285.0,371.5,245.6,307.0,78.9,129.0,5
172,13.137,cardboard box,0.278,563.1,235.4,639.6,360.4,601.4,297.9,76.5,125.1,
174,13.29,cardboard box,0.314,419.0,95.3,462.5,159.2,440.7,127.3,43.5,63.9,
174,13.29,cardboard box,0.289,562.7,235.4,639.8,360.1,601.3,297.7,77.2,124.7,
176,13.442,shopping bag,0.278,281.8,212.4,357.4,302.2,319.6,257.3,75.6,89.8,
176,13.442,cardboard box,0.27,418.9,95.2,462.7,159.4,440.8,127.3,43.8,64.2,
178,13.595,shopping bag,0.294,283.2,215.1,362.4,310.2,322.8,262.7,79.3,95.1,
178,13.595,cardboard box,0.256,418.9,94.2,462.5,159.0,440.7,126.6,43.5,64.8,
180,13.748,shopping bag,0.432,282.6,217.0,365.9,311.5,324.2,264.3,83.3,94.5,5
180,13.748,cardboard box,0.256,419.1,94.5,462.4,159.2,440.7,126.8,43.3,64.8,
182,13.901,shopping bag,0.347,278.3,217.6,367.7,312.8,323.0,265.2,89.5,95.2,
182,13.901,cardboard box,0.259,419.0,94.3,462.2,159.3,440.6,126.8,43.2,65.0,
184,14.053,shopping bag,0.358,278.5,217.3,366.2,314.5,322.4,265.9,87.7,97.2,
184,14.053,shopping bag,0.275,643.7,105.9,677.5,169.4,660.6,137.7,33.8,63.5,
184,14.053,cardboard box,0.253,419.0,93.7,462.2,159.2,440.6,126.4,43.2,65.5,
186,14.206,shopping bag,0.376,276.0,216.3,363.8,313.8,319.9,265.0,87.8,97.6,
186,14.206,shopping bag,0.321,320.6,174.8,352.7,221.7,336.7,198.2,32.1,46.9,
186,14.206,cardboard box,0.284,418.9,93.4,462.1,159.0,440.5,126.2,43.2,65.5,
188,14.359,shopping bag,0.393,275.1,214.6,363.1,313.0,319.1,263.8,88.1,98.4,5
188,14.359,shopping bag,0.322,320.4,170.0,352.5,221.9,336.5,196.0,32.1,51.9,5
188,14.359,cardboard box,0.274,418.9,93.1,462.2,158.9,440.5,126.0,43.3,65.8,
188,14.359,cardboard box,0.26,205.9,241.3,284.6,371.2,245.2,306.2,78.7,129.9,5
190,14.512,shopping bag,0.342,321.8,169.1,353.1,222.3,337.5,195.7,31.2,53.1,
190,14.512,shopping bag,0.303,281.9,215.8,362.8,311.5,322.3,263.6,80.8,95.7,
190,14.512,cardboard box,0.29,418.7,92.9,462.1,159.0,440.4,126.0,43.4,66.0,
192,14.664,shopping bag,0.422,275.1,213.6,362.2,313.0,318.7,263.3,87.1,99.4,5
192,14.664,shopping bag,0.383,800.9,506.8,835.7,586.4,818.3,546.6,34.8,79.6,11
192,14.664,shopping bag,0.34,319.5,166.7,352.5,222.0,336.0,194.4,33.0,55.2,5
192,14.664,cardboard box,0.312,419.0,93.0,462.1,158.8,440.5,125.9,43.1,65.8,
194,14.817,shopping bag,0.545,805.9,512.2,840.7,591.6,823.3,551.9,34.8,79.4,11
194,14.817,shopping bag,0.489,278.4,214.4,361.4,313.0,319.9,263.7,83.0,98.6,
194,14.817,cardboard box,0.294,419.0,93.1,462.2,158.9,440.6,126.0,43.2,65.7,
196,14.97,shopping bag,0.629,808.9,515.8,848.0,596.5,828.4,556.2,39.2,80.7,
196,14.97,shopping bag,0.366,285.6,217.7,359.3,311.5,322.4,264.6,73.7,93.8,
196,14.97,cardboard box,0.284,419.2,93.2,462.2,158.8,440.7,126.0,43.0,65.6,
196,14.97,handbag,0.276,357.7,151.9,379.6,177.7,368.7,164.8,21.9,25.8,
198,15.123,shopping bag,0.462,808.8,516.8,851.1,598.4,829.9,557.6,42.2,81.6,
198,15.123,shopping bag,0.363,285.8,217.2,359.5,312.7,322.7,264.9,73.7,95.5,
198,15.123,cardboard box,0.27,419.1,93.3,462.1,158.8,440.6,126.1,42.9,65.5,
200,15.275,shopping bag,0.536,810.0,519.9,856.3,603.0,833.1,561.4,46.3,83.1,
200,15.275,shopping bag,0.45,284.0,215.2,359.0,314.1,321.5,264.7,75.0,98.9,
200,15.275,handbag,0.301,357.7,151.9,379.8,177.8,368.8,164.9,22.2,25.8,
200,15.275,cardboard box,0.286,419.4,93.9,461.8,158.3,440.6,126.1,42.4,64.4,
200,15.275,cardboard box,0.255,206.6,242.6,283.9,371.2,245.2,306.9,77.3,128.5,
200,15.275,cardboard box,0.252,563.0,235.5,638.5,359.3,600.8,297.4,75.5,123.8,
202,15.428,shopping bag,0.462,285.6,214.0,361.6,307.6,323.6,260.8,76.0,93.6,
202,15.428,shopping bag,0.401,810.7,524.6,860.3,609.2,835.5,566.9,49.6,84.6,
202,15.428,cardboard box,0.263,419.3,93.8,461.9,158.2,440.6,126.0,42.5,64.4,
202,15.428,cardboard box,0.256,563.2,235.6,638.2,359.1,600.7,297.3,75.0,123.5,
204,15.581,shopping bag,0.433,281.9,212.2,361.5,308.7,321.7,260.5,79.6,96.5,
204,15.581,shopping bag,0.343,810.4,530.9,866.1,614.7,838.2,572.8,55.6,83.8,
206,15.734,shopping bag,0.377,279.7,212.3,361.6,309.6,320.7,261.0,81.9,97.3,
206,15.734,shopping bag,0.358,809.6,534.5,869.7,621.4,839.6,577.9,60.1,86.8,
206,15.734,shopping bag,0.345,326.8,165.1,353.4,220.8,340.1,193.0,26.6,55.7,
206,15.734,handbag,0.266,357.9,151.2,382.5,178.7,370.2,164.9,24.7,27.5,
208,15.886,shopping bag,0.418,284.2,212.8,360.1,305.9,322.1,259.4,75.9,93.1,
208,15.886,shopping bag,0.351,326.9,167.2,353.2,221.2,340.0,194.2,26.3,54.0,
208,15.886,handbag,0.268,358.0,150.9,382.0,178.8,370.0,164.9,23.9,27.8,
208,15.886,cardboard box,0.267,419.3,93.8,462.0,157.9,440.6,125.9,42.6,64.2,
208,15.886,shopping bag,0.261,809.4,539.8,871.4,628.5,840.4,584.2,62.0,88.7,
208,15.886,cardboard box,0.261,564.2,235.2,638.0,358.5,601.1,296.9,73.8,123.3,
210,16.039,shopping bag,0.431,283.0,212.7,360.0,306.0,321.5,259.3,77.0,93.3,
210,16.039,shopping bag,0.392,326.6,168.1,353.2,221.2,339.9,194.7,26.7,53.0,
210,16.039,handbag,0.282,358.0,150.1,381.7,178.7,369.9,164.4,23.7,28.5,
210,16.039,cardboard box,0.268,419.3,93.8,461.9,157.9,440.6,125.8,42.6,64.1,
212,16.192,shopping bag,0.428,282.4,214.2,359.8,305.7,321.1,260.0,77.4,91.5,
212,16.192,shopping bag,0.312,326.2,169.9,353.1,221.3,339.6,195.6,26.9,51.5,
212,16.192,cardboard box,0.282,419.3,93.7,462.0,157.9,440.7,125.8,42.7,64.2,
214,16.345,shopping bag,0.479,285.5,215.4,359.6,304.0,322.5,259.7,74.1,88.6,
214,16.345,cardboard box,0.259,419.4,93.6,462.1,157.9,440.7,125.8,42.7,64.3,
214,16.345,shopping bag,0.255,326.2,173.0,353.1,221.2,339.6,197.1,26.9,48.2,
216,16.497,shopping bag,0.538,285.8,214.8,359.6,304.9,322.7,259.9,73.9,90.1,
218,16.65,shopping bag,0.513,285.7,216.4,359.7,305.4,322.7,260.9,74.0,89.0,
220,16.803,shopping bag,0.436,284.6,216.4,360.5,305.3,322.5,260.8,75.9,88.9,
222,16.956,shopping bag,0.489,285.6,218.6,359.6,304.1,322.6,261.4,74.0,85.5,
224,17.108,shopping bag,0.489,286.2,219.5,360.0,303.8,323.1,261.7,73.8,84.3,
226,17.261,shopping bag,0.454,285.9,217.9,362.0,305.1,324.0,261.5,76.2,87.1,
226,17.261,shopping bag,0.307,813.5,544.6,872.7,632.3,843.1,588.4,59.2,87.8,
228,17.414,shopping bag,0.427,286.0,217.4,361.8,306.5,323.9,262.0,75.8,89.2,
228,17.414,shopping bag,0.299,813.2,544.6,874.1,632.2,843.7,588.4,60.9,87.6,
230,17.567,shopping bag,0.373,813.0,545.2,874.3,632.9,843.6,589.0,61.3,87.7,
230,17.567,shopping bag,0.361,288.0,221.3,362.1,306.0,325.1,263.6,74.2,84.7,
232,17.719,shopping bag,0.383,277.8,219.3,363.1,308.8,320.5,264.1,85.2,89.4,
232,17.719,shopping bag,0.309,329.9,172.3,353.8,221.5,341.9,196.9,23.9,49.2,
234,17.872,shopping bag,0.425,289.4,221.8,363.5,306.1,326.5,264.0,74.1,84.3,
234,17.872,shopping bag,0.301,330.0,168.3,353.9,221.4,341.9,194.9,23.9,53.1,
234,17.872,shopping bag,0.288,623.7,106.1,656.1,162.4,639.9,134.3,32.4,56.3,23
236,18.025,shopping bag,0.437,289.7,223.2,363.7,307.5,326.7,265.3,74.0,84.3,
238,18.178,shopping bag,0.425,293.5,224.3,364.0,307.5,328.8,265.9,70.5,83.3,
238,18.178,backpack,0.275,625.6,73.7,679.0,161.7,652.3,117.7,53.4,88.0,
238,18.178,cardboard box,0.253,418.9,93.8,462.0,158.6,440.5,126.2,43.0,64.8,
240,18.33,shopping bag,0.503,289.4,223.3,363.8,310.6,326.6,266.9,74.4,87.2,
240,18.33,handbag,0.284,976.8,503.0,1079.9,575.0,1028.4,539.0,103.1,72.1,22
242,18.483,shopping bag,0.425,283.6,220.4,363.8,308.5,323.7,264.4,80.1,88.1,
242,18.483,shopping bag,0.304,330.4,169.7,353.7,221.6,342.1,195.6,23.3,51.8,
242,18.483,handbag,0.256,921.4,523.0,1033.9,612.5,977.7,567.7,112.5,89.5,22
244,18.636,shopping bag,0.547,836.7,546.6,908.8,637.9,872.7,592.2,72.1,91.3,
244,18.636,handbag,0.41,831.5,490.2,910.1,638.4,870.8,564.3,78.6,148.2,
244,18.636,handbag,0.392,943.6,560.9,1010.9,634.7,977.2,597.8,67.2,73.8,22
244,18.636,shopping bag,0.375,285.1,219.3,363.6,309.2,324.3,264.3,78.5,89.9,
244,18.636,shopping bag,0.327,330.2,171.1,353.7,221.8,342.0,196.5,23.4,50.7,
246,18.789,shopping bag,0.533,330.4,168.0,353.8,221.9,342.1,194.9,23.3,53.9,
246,18.789,shopping bag,0.398,293.9,219.6,363.2,309.5,328.6,264.5,69.4,90.0,
246,18.789,handbag,0.262,864.2,540.2,932.8,641.2,898.5,590.7,68.6,100.9,
248,18.941,shopping bag,0.612,330.5,169.2,353.6,222.2,342.0,195.7,23.1,53.0,24
248,18.941,shopping bag,0.423,297.8,219.4,362.4,308.3,330.1,263.9,64.6,89.0,
250,19.094,shopping bag,0.654,329.9,167.5,353.8,222.1,341.9,194.8,23.9,54.6,24
250,19.094,shopping bag,0.517,872.1,486.6,950.6,653.8,911.4,570.2,78.5,167.2,
250,19.094,shopping bag,0.459,299.1,219.7,362.2,308.9,330.7,264.3,63.1,89.1,
252,19.247,shopping bag,0.649,875.3,489.8,949.5,660.8,912.4,575.3,74.3,171.1,11
252,19.247,shopping bag,0.521,329.9,166.8,353.2,222.3,341.6,194.6,23.4,55.5,24
252,19.247,shopping bag,0.442,297.6,216.2,362.8,310.3,330.2,263.2,65.2,94.1,
254,19.4,shopping bag,0.569,872.6,483.1,949.1,657.5,910.9,570.3,76.5,174.4,11
254,19.4,shopping bag,0.472,330.1,166.8,353.1,222.4,341.6,194.6,23.0,55.6,24
254,19.4,shopping bag,0.468,295.9,214.6,363.8,311.5,329.9,263.1,67.9,96.9,
254,19.4,shopping bag,0.317,874.7,548.4,949.5,657.3,912.1,602.8,74.8,108.9,11
256,19.552,shopping bag,0.541,861.8,461.9,938.1,643.0,900.0,552.5,76.3,181.1,11
256,19.552,shopping bag,0.517,896.3,621.9,1019.6,718.9,957.9,670.4,123.3,97.1,22
256,19.552,shopping bag,0.45,330.6,167.5,353.2,222.4,341.9,194.9,22.6,54.9,24
256,19.552,shopping bag,0.436,292.8,214.5,363.0,310.2,327.9,262.4,70.3,95.6,
256,19.552,shopping bag,0.347,864.6,537.5,938.2,643.4,901.4,590.4,73.6,105.9,11
258,19.705,shopping bag,0.764,854.4,430.6,933.5,615.1,894.0,522.9,79.1,184.5,11
258,19.705,shopping bag,0.458,291.8,215.2,363.1,310.4,327.5,262.8,71.4,95.1,6
258,19.705,shopping bag,0.403,330.8,167.4,353.1,222.0,341.9,194.7,22.3,54.6,24
258,19.705,shopping bag,0.359,911.9,598.7,1027.2,719.1,969.5,658.9,115.3,120.3,22
258,19.705,shopping bag,0.311,627.0,106.1,661.3,162.3,644.1,134.2,34.3,56.2,
