time_s,visitor_id,map_x,map_y,n_cams,cams
9.6,1,437.6,676.1,2,0;1
9.8,1,436.9,676.2,2,0;1
10.0,1,436.7,676.3,2,0;1
10.2,1,436.6,676.3,2,0;1
10.4,1,436.5,676.3,2,0;1
10.6,1,436.4,676.3,2,0;1
10.8,1,436.4,676.3,2,0;1
11.0,1,436.4,676.3,2,0;1
11.2,1,436.3,676.3,2,0;1
11.4,1,436.3,676.3,2,0;1
11.6,1,436.4,676.3,2,0;1
11.8,1,436.4,676.3,2,0;1
12.0,1,436.3,676.3,2,0;1
12.2,1,436.4,676.3,2,0;1
12.4,1,436.3,676.3,2,0;1
12.6,1,436.4,676.3,2,0;1
12.8,1,437.7,676.2,2,0;1
13.0,1,439.1,675.9,2,0;1
13.2,1,440.0,675.6,2,0;1
13.4,1,440.8,675.4,2,0;1
13.6,1,441.4,674.7,2,0;1
13.8,1,442.2,674.2,2,0;1
14.0,1,442.6,674.0,2,0;1
14.2,1,443.0,673.9,2,0;1
14.4,1,442.7,674.0,2,0;1
14.6,1,442.8,674.0,2,0;1
14.8,1,442.8,674.0,2,0;1
15.0,1,443.0,673.9,2,0;1
15.2,1,442.9,673.9,2,0;1
15.4,1,442.9,673.9,2,0;1
15.6,1,442.8,674.0,2,0;1
15.8,1,442.8,674.0,2,0;1
16.0,1,442.7,674.0,2,0;1
16.2,1,442.8,674.0,2,0;1
16.4,1,442.8,674.0,2,0;1
16.6,1,442.9,673.9,2,0;1
16.8,1,442.9,673.9,2,0;1
17.0,1,442.8,674.0,2,0;1
17.2,1,442.8,674.0,2,0;1
17.4,1,442.8,674.0,2,0;1
17.6,1,442.8,674.0,2,0;1
17.8,1,442.7,674.0,2,0;1
18.0,1,442.7,674.0,2,0;1
18.2,1,442.8,674.0,2,0;1
18.4,1,442.9,673.9,2,0;1
18.6,1,442.9,673.9,2,0;1
18.8,1,442.7,674.0,2,0;1
19.0,1,442.6,674.0,2,0;1
19.2,1,442.5,674.0,2,0;1
19.4,1,442.6,674.0,2,0;1
19.6,1,442.6,674.0,2,0;1
19.8,1,442.6,674.0,2,0;1
20.0,1,442.6,674.0,2,0;1
20.2,1,442.6,674.0,2,0;1
20.4,1,442.6,674.0,2,0;1
20.6,1,442.7,674.0,2,0;1
20.8,1,442.5,674.0,2,0;1
21.0,1,442.5,674.0,2,0;1
21.2,1,442.5,674.0,2,0;1
21.4,1,442.8,674.0,2,0;1
21.6,1,442.7,674.0,2,0;1
21.8,1,442.5,674.2,2,0;1
22.0,1,442.0,674.6,2,0;1
22.2,1,440.8,674.9,2,0;1
22.4,1,439.2,675.1,2,0;1
22.6,1,437.1,675.4,2,0;1
22.8,1,436.1,675.5,2,0;1
23.0,1,435.7,675.7,2,0;1
23.2,1,435.3,675.9,2,0;1
23.4,1,435.3,676.0,2,0;1
23.6,1,435.1,676.1,2,0;1
23.8,1,435.2,676.1,2,0;1
24.0,1,435.2,676.1,2,0;1
24.2,1,435.3,676.1,2,0;1
24.4,1,434.8,676.2,2,0;1
24.6,1,434.8,676.1,2,0;1
24.8,1,434.9,676.1,2,0;1
25.0,1,434.6,676.1,2,0;1
25.2,1,434.4,676.2,2,0;1
25.4,1,434.5,676.2,2,0;1
25.6,1,434.5,676.2,2,0;1
25.8,1,434.8,676.3,2,0;1
26.0,1,434.1,676.8,2,0;1
26.2,1,433.6,677.0,2,0;1
26.4,1,433.7,677.0,2,0;1
26.6,1,434.6,677.0,2,0;1
26.8,1,435.5,676.9,2,0;1
27.0,1,428.3,675.9,2,0;1
27.2,1,422.8,676.7,2,0;1
27.4,1,417.0,678.4,2,0;1
27.6,1,411.6,678.7,2,0;1
27.8,1,401.5,673.6,2,0;1
28.0,1,393.7,673.0,2,0;1
28.2,1,382.0,672.6,2,0;1
28.4,1,375.4,672.3,2,0;1
28.6,1,371.3,672.5,2,0;1
28.8,1,368.3,672.7,2,0;1
29.0,1,359.3,675.0,2,0;1
29.2,1,356.2,675.5,2,0;1
29.4,1,352.2,675.8,2,0;1
29.6,1,351.7,677.4,2,0;1
29.8,1,353.2,676.9,2,0;1
30.0,1,354.6,677.2,2,0;1
30.2,1,354.6,677.2,2,0;1
30.4,1,349.7,676.4,2,0;1
30.6,1,347.4,675.9,2,0;1
30.8,1,346.9,676.2,2,0;1
31.0,1,346.6,677.5,2,0;1
31.2,1,349.5,676.0,2,0;1
31.4,1,350.9,675.9,2,0;1
31.6,1,351.6,676.0,2,0;1
31.8,1,354.7,681.0,2,0;1
32.0,1,355.8,681.7,2,0;1
32.2,1,358.6,671.5,1,0;1
32.4,1,338.0,672.6,1,0;1
32.6,1,323.8,673.3,1,0;1
32.8,1,316.1,673.7,1,0;1
33.0,1,296.9,674.7,1,0;1
33.2,1,274.2,675.9,1,0;1
33.4,1,236.0,677.8,1,0;1
33.6,1,219.2,678.7,1,0;1
33.8,1,214.8,678.9,1,0;1
0.0,2,453.6,578.2,2,0;1
0.2,2,454.2,578.7,2,0;1
0.4,2,454.1,578.6,2,0;1
0.6,2,453.9,578.7,2,0;1
0.8,2,453.0,578.8,2,0;1
1.0,2,453.1,577.8,2,0;1
1.2,2,452.7,577.3,2,0;1
1.4,2,450.8,577.9,2,0;1
1.6,2,450.8,583.2,2,0;1
1.8,2,449.1,585.0,2,0;1
2.0,2,442.3,589.3,2,0;1
2.2,2,432.8,592.0,2,0;1
2.4,2,421.4,593.2,2,0;1
2.6,2,413.6,594.6,2,0;1
2.8,2,413.0,600.2,2,0;1
3.0,2,406.5,601.0,2,0;1
3.2,2,393.9,599.3,2,0;1
3.4,2,382.9,595.3,2,0;1
3.6,2,375.1,587.4,2,0;1
3.8,2,372.2,584.6,2,0;1
4.0,2,368.5,582.2,2,0;1
4.2,2,371.3,582.4,2,0;1
4.4,2,368.8,581.7,2,0;1
4.6,2,353.1,577.3,2,0;1
4.8,2,346.5,579.9,2,0;1
5.0,2,336.5,589.6,2,0;1
5.2,2,321.5,591.0,2,0;1
5.4,2,303.3,600.0,2,0;1
5.6,2,284.7,606.5,2,0;1
5.8,2,274.1,612.9,2,0;1
6.0,2,263.6,623.6,2,0;1
6.2,2,262.7,638.5,2,0;1
6.4,2,255.9,653.4,2,0;1
6.6,2,234.0,674.3,1,0;1
6.8,2,223.7,676.1,1,0;1
0.0,3,553.5,593.6,2,0;1
0.2,3,555.9,594.7,2,0;1
0.4,3,554.1,593.9,2,0;1
0.6,3,556.1,594.7,2,0;1
0.8,3,557.9,595.3,2,0;1
1.0,3,556.2,594.5,2,0;1
1.2,3,553.8,593.4,2,0;1
1.4,3,550.6,592.0,2,0;1
1.6,3,551.3,592.3,2,0;1
1.8,3,548.6,593.6,2,0;1
2.0,3,530.2,585.3,2,0;1
2.2,3,529.1,585.9,2,0;1
2.4,3,526.1,585.9,2,0;1
2.6,3,521.5,585.1,2,0;1
2.8,3,518.2,584.2,2,0;1
3.0,3,515.7,583.7,2,0;1
3.2,3,514.0,584.2,2,0;1
3.4,3,504.6,581.7,2,0;1
3.6,3,513.7,594.1,2,0;1
3.8,3,501.9,591.8,2,0;1
4.0,3,491.6,590.8,2,0;1
4.2,3,487.1,590.4,2,0;1
4.4,3,486.7,591.7,2,0;1
4.6,3,476.3,585.4,2,0;1
4.8,3,470.1,581.3,2,0;1
5.0,3,469.2,581.3,2,0;1
5.2,3,462.8,581.4,2,0;1
5.4,3,454.1,582.1,2,0;1
5.6,3,449.7,582.7,2,0;1
5.8,3,447.9,583.7,2,0;1
6.0,3,443.2,583.2,2,0;1
6.2,3,437.3,582.6,2,0;1
6.4,3,433.5,581.7,2,0;1
6.6,3,429.9,581.5,2,0;1
6.8,3,426.8,581.4,2,0;1
7.0,3,423.3,580.4,2,0;1
7.2,3,422.8,580.3,2,0;1
7.4,3,422.6,580.2,2,0;1
7.6,3,423.1,580.6,2,0;1
7.8,3,423.4,580.7,2,0;1
8.0,3,424.8,581.0,2,0;1
8.2,3,424.5,579.1,2,0;1
8.4,3,428.3,580.5,2,0;1
8.6,3,430.6,580.9,2,0;1
8.8,3,430.7,580.6,2,0;1
9.0,3,432.2,580.1,2,0;1
9.2,3,433.1,580.2,2,0;1
9.4,3,433.0,579.7,2,0;1
9.6,3,432.3,578.8,2,0;1
9.8,3,433.0,579.2,2,0;1
10.0,3,430.7,577.9,2,0;1
10.2,3,429.8,578.0,2,0;1
10.4,3,429.4,577.7,2,0;1
10.6,3,428.1,576.9,2,0;1
10.8,3,426.4,575.9,2,0;1
11.0,3,427.7,576.7,2,0;1
11.2,3,429.3,577.7,2,0;1
11.4,3,429.9,575.8,2,0;1
11.6,3,430.9,575.0,2,0;1
11.8,3,432.5,577.0,2,0;1
12.0,3,433.4,579.6,2,0;1
12.2,3,433.0,579.4,2,0;1
12.4,3,433.3,579.6,2,0;1
12.6,3,433.4,579.7,2,0;1
12.8,3,433.8,579.9,2,0;1
13.0,3,433.7,579.8,2,0;1
13.2,3,433.5,579.7,2,0;1
13.4,3,433.3,579.6,2,0;1
13.6,3,433.3,579.6,2,0;1
13.8,3,433.3,579.6,2,0;1
14.0,3,433.0,579.4,2,0;1
14.2,3,433.0,579.4,2,0;1
14.4,3,432.8,579.3,2,0;1
14.6,3,432.6,579.1,2,0;1
14.8,3,433.6,579.6,2,0;1
15.0,3,432.7,572.0,2,0;1
15.2,3,432.6,571.9,2,0;1
15.4,3,433.1,578.1,2,0;1
15.6,3,433.6,578.9,2,0;1
15.8,3,432.9,578.7,2,0;1
16.0,3,430.5,577.3,2,0;1
16.2,3,429.9,577.2,2,0;1
16.4,3,433.1,580.5,2,0;1
16.6,3,433.2,581.9,2,0;1
16.8,3,432.5,582.9,2,0;1
17.0,3,431.2,583.8,2,0;1
17.2,3,430.4,585.2,2,0;1
17.4,3,430.1,585.2,2,0;1
17.6,3,430.5,585.5,2,0;1
17.8,3,430.8,585.8,2,0;1
18.0,3,431.8,584.9,2,0;1
18.2,3,431.9,582.5,2,0;1
18.4,3,429.5,580.5,2,0;1
18.6,3,430.6,580.8,2,0;1
18.8,3,427.2,578.3,2,0;1
19.0,3,432.0,581.6,2,0;1
19.2,3,431.5,582.2,2,0;1
19.4,3,432.9,583.7,2,0;1
19.6,3,433.4,584.5,2,0;1
19.8,3,430.2,582.5,2,0;1
20.0,3,432.6,585.4,2,0;1
20.2,3,433.1,585.8,2,0;1
20.4,3,433.3,586.0,2,0;1
20.6,3,427.3,585.5,2,0;1
20.8,3,421.2,586.9,2,0;1
21.0,3,416.9,589.0,2,0;1
21.2,3,412.8,590.3,2,0;1
21.4,3,388.1,588.1,2,0;1
21.6,3,368.6,579.5,2,0;1
21.8,3,369.0,582.4,2,0;1
22.0,3,334.6,587.8,2,0;1
22.2,3,317.8,593.9,2,0;1
22.4,3,298.9,603.4,2,0;1
22.6,3,278.6,611.7,2,0;1
22.8,3,266.5,617.1,2,0;1
23.0,3,261.0,628.2,2,0;1
23.2,3,251.2,643.4,2,0;1
23.4,3,234.4,662.5,1,0;1
23.6,3,230.1,672.7,1,0;1
0.0,4,477.2,645.5,1,0;1
0.2,4,477.2,645.5,1,0;1
0.4,4,477.2,645.6,1,0;1
0.6,4,477.4,646.7,1,0;1
0.8,4,477.4,646.8,1,0;1
1.0,4,477.4,646.9,1,0;1
1.2,4,477.4,646.9,1,0;1
1.4,4,477.5,646.9,1,0;1
1.6,4,477.5,646.9,1,0;1
1.8,4,483.2,648.2,1,0;1
2.0,4,488.8,655.7,1,0;1
2.2,4,489.0,657.0,1,0;1
2.4,4,488.9,657.5,1,0;1
2.6,4,488.9,657.7,1,0;1
2.8,4,488.9,658.1,1,0;1
3.0,4,488.5,659.9,1,0;1
3.2,4,488.5,660.3,1,0;1
3.4,4,488.5,660.3,1,0;1
3.6,4,488.5,660.3,1,0;1
3.8,4,488.5,660.3,1,0;1
4.0,4,488.5,660.3,1,0;1
4.2,4,488.5,660.3,1,0;1
4.4,4,488.5,660.1,1,0;1
4.6,4,488.5,660.0,1,0;1
4.8,4,488.5,659.9,1,0;1
5.0,4,488.5,659.7,1,0;1
5.2,4,488.5,659.6,1,0;1
5.4,4,488.5,659.5,1,0;1
5.6,4,488.5,659.3,1,0;1
5.8,4,488.5,659.2,1,0;1
6.0,4,488.5,659.1,1,0;1
6.2,4,488.5,658.9,1,0;1
6.4,4,488.5,658.8,1,0;1
6.6,4,488.5,658.7,1,0;1
6.8,4,488.6,658.6,1,0;1
7.0,4,488.5,657.2,1,0;1
7.2,4,488.3,656.6,1,0;1
7.4,4,488.3,656.6,1,0;1
7.6,4,488.3,656.6,1,0;1
7.8,4,488.3,656.6,1,0;1
8.0,4,488.3,656.6,1,0;1
8.2,4,493.0,654.6,1,0;1
8.4,4,493.2,654.5,1,0;1
8.6,4,489.7,653.1,1,0;1
8.8,4,489.7,653.1,1,0;1
9.0,4,489.7,653.1,1,0;1
9.2,4,489.7,653.1,1,0;1
9.4,4,489.7,653.1,1,0;1
9.6,4,489.7,653.1,1,0;1
9.8,4,489.7,653.1,1,0;1
10.0,4,489.7,653.1,1,0;1
10.2,4,489.7,653.1,1,0;1
10.4,4,489.6,652.9,1,0;1
10.6,4,489.1,651.6,1,0;1
10.8,4,489.1,651.5,1,0;1
11.0,4,489.3,652.0,1,0;1
11.2,4,489.9,653.2,1,0;1
11.4,4,490.6,654.5,1,0;1
11.6,4,491.1,655.6,1,0;1
11.8,4,491.5,656.0,1,0;1
12.0,4,492.4,656.5,1,0;1
12.2,4,492.7,656.6,1,0;1
12.4,4,493.0,656.6,1,0;1
12.6,4,493.0,656.6,1,0;1
12.8,4,493.0,656.6,1,0;1
13.0,4,492.9,655.0,1,0;1
13.2,4,492.8,652.5,1,0;1
13.4,4,492.8,652.5,1,0;1
13.6,4,491.6,653.5,1,0;1
13.8,4,491.2,654.5,1,0;1
14.0,4,491.0,657.7,1,0;1
14.2,4,491.0,657.7,1,0;1
14.4,4,491.0,657.7,1,0;1
14.6,4,491.0,657.7,1,0;1
14.8,4,491.0,657.7,1,0;1
15.0,4,490.2,656.4,1,0;1
15.2,4,489.7,656.1,1,0;1
15.4,4,487.3,657.1,1,0;1
15.6,4,484.9,658.0,1,0;1
15.8,4,482.2,661.2,1,0;1
16.0,4,475.0,665.2,1,0;1
16.2,4,470.6,665.6,1,0;1
16.4,4,466.3,665.9,1,0;1
16.6,4,458.9,656.1,1,0;1
16.8,4,453.8,645.7,1,0;1
17.0,4,452.2,644.0,1,0;1
17.2,4,451.2,642.9,1,0;1
17.4,4,450.6,641.9,1,0;1
17.6,4,450.5,641.7,1,0;1
17.8,4,450.3,641.2,1,0;1
18.0,4,450.3,641.2,1,0;1
18.2,4,450.3,641.2,1,0;1
18.4,4,450.3,641.2,1,0;1
18.6,4,450.3,641.2,1,0;1
18.8,4,450.5,640.5,1,0;1
19.0,4,450.8,640.1,1,0;1
19.2,4,451.5,639.6,1,0;1
19.4,4,452.6,640.0,1,0;1
19.6,4,455.0,642.2,1,0;1
19.8,4,455.7,642.9,1,0;1
20.0,4,456.1,643.2,1,0;1
20.2,4,456.1,643.3,1,0;1
20.4,4,456.3,643.5,1,0;1
20.6,4,456.1,643.5,1,0;1
20.8,4,455.6,643.0,1,0;1
21.0,4,454.4,642.4,1,0;1
21.2,4,455.0,642.1,1,0;1
21.4,4,455.9,643.2,1,0;1
21.6,4,455.8,643.3,1,0;1
21.8,4,458.3,665.1,1,0;1
22.0,4,457.5,665.7,1,0;1
22.2,4,457.4,665.8,1,0;1
22.4,4,457.4,665.8,1,0;1
22.6,4,457.4,665.8,1,0;1
22.8,4,457.4,665.8,1,0;1
23.0,4,457.4,665.8,1,0;1
23.2,4,457.4,665.8,1,0;1
23.4,4,458.0,664.6,1,0;1
23.6,4,459.1,662.2,1,0;1
23.8,4,461.9,661.6,1,0;1
24.0,4,469.7,661.4,1,0;1
24.2,4,476.1,660.8,1,0;1
24.4,4,484.7,658.0,1,0;1
24.6,4,485.0,657.8,1,0;1
24.8,4,485.3,657.7,1,0;1
25.0,4,486.5,655.2,1,0;1
25.2,4,487.1,654.6,1,0;1
25.4,4,487.0,656.7,1,0;1
25.6,4,486.8,658.9,1,0;1
25.8,4,486.6,658.9,1,0;1
26.0,4,484.8,656.3,1,0;1
26.2,4,478.6,652.8,1,0;1
26.4,4,468.3,649.5,1,0;1
26.6,4,467.5,649.4,1,0;1
26.8,4,467.4,649.4,1,0;1
27.0,4,469.8,654.3,1,0;1
27.2,4,472.2,659.3,1,0;1
27.4,4,478.9,660.2,1,0;1
27.6,4,484.8,660.3,1,0;1
27.8,4,486.4,660.4,1,0;1
28.0,4,486.7,660.6,1,0;1
28.2,4,487.8,657.5,1,0;1
28.4,4,488.6,657.0,1,0;1
28.6,4,488.9,658.8,1,0;1
28.8,4,489.3,661.8,1,0;1
29.0,4,489.5,662.5,1,0;1
29.2,4,489.8,663.3,1,0;1
29.4,4,489.8,663.3,1,0;1
29.6,4,490.1,662.8,1,0;1
29.8,4,490.3,662.5,1,0;1
30.0,4,490.3,662.5,1,0;1
30.2,4,490.9,662.1,1,0;1
30.4,4,492.7,660.7,1,0;1
30.6,4,493.6,659.5,1,0;1
30.8,4,506.6,662.9,2,0;1
31.0,4,507.1,663.0,2,0;1
31.2,4,502.9,662.9,2,0;1
31.4,4,498.7,662.3,2,0;1
31.6,4,494.8,662.1,2,0;1
31.8,4,495.2,663.8,2,0;1
32.0,4,494.5,665.5,2,0;1
32.2,4,493.0,666.1,2,0;1
32.4,4,493.1,665.8,2,0;1
32.6,4,492.9,666.0,2,0;1
32.8,4,492.6,666.2,2,0;1
33.0,4,496.9,662.9,1,0;1
33.2,4,496.9,662.9,1,0;1
33.4,4,497.2,662.0,1,0;1
33.6,4,497.8,660.2,1,0;1
33.8,4,498.0,658.8,1,0;1
34.0,4,498.1,658.6,1,0;1
34.2,4,498.1,659.1,1,0;1
34.4,4,498.2,662.5,1,0;1
34.6,4,495.9,663.5,1,0;1
34.8,4,490.2,664.6,1,0;1
35.0,4,489.0,664.7,1,0;1
35.2,4,487.7,664.8,1,0;1
35.4,4,487.7,664.8,1,0;1
35.6,4,487.7,664.8,1,0;1
35.8,4,487.4,664.8,1,0;1
36.0,4,486.6,664.9,1,0;1
36.2,4,486.2,664.5,1,0;1
36.4,4,486.0,664.5,1,0;1
36.6,4,485.7,664.0,1,0;1
36.8,4,485.6,663.9,1,0;1
37.0,4,485.1,662.4,1,0;1
37.2,4,485.1,662.4,1,0;1
37.4,4,486.9,663.2,1,0;1
37.6,4,488.8,664.0,1,0;1
37.8,4,488.8,664.0,1,0;1
38.0,4,488.3,663.3,1,0;1
38.2,4,488.3,663.3,1,0;1
38.4,4,488.3,663.3,1,0;1
38.6,4,488.3,663.3,1,0;1
38.8,4,488.5,663.5,1,0;1
39.0,4,489.9,663.1,1,0;1
39.2,4,491.2,662.5,1,0;1
39.4,4,491.2,662.5,1,0;1
39.6,4,491.2,662.5,1,0;1
39.8,4,491.1,662.8,1,0;1
40.0,4,488.3,662.7,1,0;1
40.2,4,483.2,660.2,1,0;1
40.4,4,481.7,657.9,1,0;1
40.6,4,479.1,654.9,1,0;1
40.8,4,478.9,654.7,1,0;1
41.0,4,478.8,654.6,1,0;1
41.2,4,478.9,654.7,1,0;1
41.4,4,480.7,655.5,1,0;1
41.6,4,482.0,655.8,1,0;1
41.8,4,482.1,655.9,1,0;1
42.0,4,482.3,656.0,1,0;1
42.2,4,482.4,656.3,1,0;1
42.4,4,482.6,656.9,1,0;1
42.6,4,482.7,657.2,1,0;1
42.8,4,482.9,658.0,1,0;1
43.0,4,483.0,658.2,1,0;1
43.2,4,483.3,660.0,1,0;1
43.4,4,483.3,660.0,1,0;1
43.6,4,483.3,660.0,1,0;1
43.8,4,483.2,658.8,1,0;1
44.0,4,483.2,658.8,1,0;1
44.2,4,483.2,658.8,1,0;1
44.4,4,482.3,658.7,1,0;1
44.6,4,482.2,658.6,1,0;1
44.8,4,482.2,658.6,1,0;1
45.0,4,483.4,660.0,1,0;1
45.2,4,483.6,660.3,1,0;1
45.4,4,483.6,660.3,1,0;1
45.6,4,483.1,660.4,1,0;1
45.8,4,483.1,660.4,1,0;1
46.0,4,483.1,660.4,1,0;1
46.2,4,483.0,660.5,1,0;1
46.4,4,483.0,660.5,1,0;1
46.6,4,482.7,660.3,1,0;1
46.8,4,482.5,660.1,1,0;1
47.0,4,486.1,658.8,1,0;1
47.2,4,494.7,658.3,1,0;1
47.4,4,497.5,658.3,1,0;1
47.6,4,499.1,658.3,1,0;1
47.8,4,499.9,656.6,1,0;1
48.0,4,500.2,654.9,1,0;1
48.2,4,492.0,654.5,1,0;1
48.4,4,483.1,657.0,1,0;1
48.6,4,471.1,657.8,1,0;1
48.8,4,464.3,658.1,1,0;1
49.0,4,457.3,659.5,1,0;1
49.2,4,450.8,665.5,1,0;1
49.4,4,440.5,667.1,1,0;1
49.6,4,431.0,667.8,1,0;1
49.8,4,426.7,668.0,1,0;1
50.0,4,422.1,668.2,1,0;1
50.2,4,421.5,668.3,1,0;1
50.4,4,419.4,668.4,1,0;1
50.6,4,418.2,668.4,1,0;1
50.8,4,417.7,668.5,1,0;1
51.0,4,414.2,668.6,1,0;1
51.2,4,414.1,668.6,1,0;1
51.4,4,414.0,667.9,1,0;1
51.6,4,413.8,667.1,1,0;1
51.8,4,414.5,666.5,1,0;1
52.0,4,419.7,665.5,1,0;1
52.2,4,422.6,667.1,1,0;1
52.4,4,423.3,666.8,1,0;1
52.6,4,425.5,665.7,1,0;1
52.8,4,424.5,659.4,1,0;1
53.0,4,422.7,655.2,1,0;1
53.2,4,421.9,654.7,1,0;1
53.4,4,421.7,654.6,1,0;1
53.6,4,422.8,658.1,1,0;1
53.8,4,427.8,663.2,1,0;1
54.0,4,438.6,664.6,1,0;1
54.2,4,448.9,663.7,1,0;1
54.4,4,455.9,661.4,1,0;1
54.6,4,465.1,657.4,1,0;1
54.8,4,473.1,655.0,1,0;1
55.0,4,477.2,654.7,1,0;1
55.2,4,479.1,655.3,1,0;1
55.4,4,479.1,655.3,1,0;1
55.6,4,479.1,655.3,1,0;1
55.8,4,479.2,655.2,1,0;1
56.0,4,479.4,655.5,1,0;1
56.2,4,479.9,656.2,1,0;1
56.4,4,480.7,658.1,1,0;1
56.6,4,481.2,659.4,1,0;1
56.8,4,481.4,660.0,1,0;1
57.0,4,481.5,660.3,1,0;1
57.2,4,481.5,660.3,1,0;1
57.4,4,481.5,660.3,1,0;1
57.6,4,481.5,660.3,1,0;1
57.8,4,481.5,660.3,1,0;1
58.0,4,482.3,661.8,1,0;1
58.2,4,482.9,663.1,1,0;1
58.4,4,483.1,663.4,1,0;1
58.6,4,483.2,659.6,1,0;1
58.8,4,480.5,658.0,1,0;1
59.0,4,478.7,659.5,1,0;1
59.2,4,475.0,662.6,1,0;1
59.4,4,469.4,660.2,1,0;1
59.6,4,467.6,657.3,1,0;1
59.8,4,467.6,657.3,1,0;1
60.0,4,471.1,658.4,1,0;1
60.2,4,475.7,662.0,1,0;1
60.4,4,477.9,664.2,1,0;1
60.6,4,478.6,662.3,1,0;1
60.8,4,479.8,658.9,1,0;1
61.0,4,481.3,658.2,1,0;1
61.2,4,481.4,658.1,1,0;1
61.4,4,481.4,658.1,1,0;1
61.6,4,481.4,658.1,1,0;1
61.8,4,481.3,657.7,1,0;1
62.0,4,481.3,657.6,1,0;1
62.2,4,481.3,657.6,1,0;1
62.4,4,447.5,670.8,2,0;1
62.6,4,438.3,671.0,2,0;1
62.8,4,447.9,666.4,2,0;1
63.0,4,445.7,668.1,2,0;1
63.2,4,442.0,670.4,2,0;1
63.4,4,440.6,670.7,2,0;1
63.6,4,440.3,668.5,2,0;1
63.8,4,441.0,667.5,2,0;1
64.0,4,439.9,668.4,2,0;1
64.2,4,440.5,669.2,2,0;1
64.4,4,440.1,669.7,2,0;1
64.6,4,440.3,669.5,2,0;1
64.8,4,440.5,669.3,2,0;1
65.0,4,440.1,670.0,2,0;1
65.2,4,440.0,670.4,2,0;1
65.4,4,443.2,668.9,2,0;1
65.6,4,443.8,669.5,2,0;1
65.8,4,440.6,672.7,2,0;1
66.0,4,440.9,674.1,2,0;1
66.2,4,441.0,675.3,2,0;1
66.4,4,441.4,676.1,2,0;1
66.6,4,441.5,676.2,2,0;1
66.8,4,441.4,676.4,2,0;1
67.0,4,440.8,676.6,2,0;1
67.2,4,438.9,677.2,2,0;1
67.4,4,440.1,676.8,2,0;1
67.6,4,441.2,676.8,2,0;1
67.8,4,443.0,676.7,2,0;1
68.0,4,442.8,676.7,2,0;1
68.2,4,442.3,675.1,2,0;1
68.4,4,443.4,673.3,2,0;1
68.6,4,456.2,666.1,2,0;1
68.8,4,445.4,668.7,2,0;1
69.0,4,446.4,668.7,2,0;1
69.2,4,452.0,667.9,2,0;1
69.4,4,450.3,665.6,2,0;1
69.6,4,447.5,665.7,2,0;1
69.8,4,445.7,670.5,2,0;1
70.0,4,443.8,672.2,2,0;1
70.2,4,443.2,672.4,2,0;1
70.4,4,442.7,672.6,2,0;1
70.6,4,442.0,671.5,2,0;1
70.8,4,440.6,667.1,2,0;1
71.0,4,441.3,666.2,2,0;1
71.2,4,441.1,666.5,2,0;1
71.4,4,440.8,666.9,2,0;1
71.6,4,437.2,669.9,2,0;1
71.8,4,437.9,670.6,2,0;1
72.0,4,436.0,671.9,2,0;1
72.2,4,435.0,672.6,2,0;1
72.4,4,433.5,670.9,2,0;1
72.6,4,433.6,670.7,2,0;1
72.8,4,435.6,668.6,2,0;1
73.0,4,435.8,669.3,2,0;1
73.2,4,436.5,669.2,2,0;1
73.4,4,437.4,669.4,2,0;1
73.6,4,438.4,669.1,2,0;1
73.8,4,438.4,669.4,2,0;1
74.0,4,438.4,669.6,2,0;1
74.2,4,438.8,669.3,2,0;1
74.4,4,438.9,669.4,2,0;1
